,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,specialization,Doctor Name,rating,Available Date,Available time,Hospital Address,Hospital Address City,Symptoms
0,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Vicky Grimwood,4,20/05/2024,16:11:00,53580 Spohn Avenue,Taiping,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
1,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Mariam Yushin,1,25/05/2024,15:35:00,3 Butternut Center,Cotovia,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
2,(vertigo) Paroymsal Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Vince Paike,3,2024-02-05 00:00:00,19:29:00,93519 Hoepker Hill,Dasha,"headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
3,(vertigo) Paroymsal Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Lotta Bassick,5,28/05/2024,17:16:00,90 Hoepker Park,Niigata-shi,"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
4,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Had Piletic,4,26/05/2024,13:57:00,3 Toban Terrace,Kokofata,"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
5,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Koral Langmuir,2,2024-03-05 00:00:00,11:35:00,04 Sherman Alley,Zombo,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
6,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Darbie Dast,2,29/04/2024,13:28:00,7829 Brentwood Pass,Doubravice nad Svitavou,"vomiting, headache, nausea, spinning_movements, unsteadiness"
7,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,,(ENT) specialist,Page Goggey,1,27/04/2024,08:45:00,8 Mosinee Hill,Skála,"vomiting, headache, nausea, spinning_movements, loss_of_balance"
8,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Papageno Tuffs,1,2024-11-05 00:00:00,17:38:00,5 Forster Lane,Buang,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
9,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Daisy Woolis,3,2024-06-05 00:00:00,12:06:00,2695 Randy Pass,Lahishyn,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
10,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Babbette Readshall,3,13/05/2024,17:50:00,4 Eggendart Lane,Botigues,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
11,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Birgitta Piercy,2,2024-09-05 00:00:00,14:17:00,40574 Lyons Street,Luoqi,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
12,(vertigo) Paroymsal Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Duncan Kruse,2,28/04/2024,10:41:00,256 Northview Plaza,Parlilitan,"headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
13,(vertigo) Paroymsal Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Kiley Julian,3,2024-02-05 00:00:00,18:32:00,6494 Carberry Plaza,Babakantonggoh,"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
14,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Celinda Peachman,3,29/04/2024,13:28:00,151 Corry Way,Bobonan,"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
15,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Arvin Spenclay,5,28/05/2024,08:36:00,847 Roth Place,Nanyo,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
16,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Evita Swalteridge,1,2024-02-05 00:00:00,13:22:00,19600 Banding Hill,Tuusniemi,"vomiting, headache, nausea, spinning_movements, unsteadiness"
17,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,,(ENT) specialist,Felipa Darrigone,1,28/04/2024,10:04:00,61640 Corben Hill,Shitong,"vomiting, headache, nausea, spinning_movements, loss_of_balance"
18,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Garold Meace,2,25/05/2024,12:04:00,59 Mcguire Street,Binabaan,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
19,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Kerwinn Gores,5,19/05/2024,16:05:00,22120 Memorial Plaza,Pandakan,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
20,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Meredithe Farge,1,2024-02-05 00:00:00,14:04:00,43549 Loftsgordon Way,Cournon-d'Auvergne,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
